# DATE_TIME = 2025-12-22 20:03:38
# COIN_WDW = 1100
# INT_TIME = 2000000000000
# LINES_PER_TRIAL = 36
h h 3790 309.8181818181818 94463.5 125729.0
h v 2257 354.22727272727275 113251.5 121062.5
h d 4482 301.02272727272725 88216.0 130554.0
h a 1957 370.29545454545456 109864.5 130706.0
h r 1074 373.84090909090907 115239.5 127081.0
h l 5283 299.8181818181818 89520.5 130088.5
v h 2124 188.86363636363637 93912.0 76817.0
v v 3418 215.0681818181818 108545.0 76627.0
v d 1140 178.3409090909091 88524.0 76768.5
v a 4397 232.70454545454547 115300.5 77125.5
v r 4253 232.5 114848.5 77101.5
v l 1098 181.02272727272728 90099.0 76988.5
d h 658 241.0681818181818 94802.5 97711.0
d v 4916 279.6818181818182 108383.0 99275.0
d d 2360 230.47727272727272 88318.0 100338.5
d a 3339 287.72727272727275 114123.0 97980.0
d r 1683 298.47727272727275 115422.5 99033.0
d l 4253 232.38636363636363 89669.5 98917.5
a h 5249 248.6590909090909 93701.5 102970.5
a v 538 287.0681818181818 110348.0 99899.5
a d 2586 229.11363636363637 90149.5 99812.5
a a 3149 295.8181818181818 112645.5 102178.0
a r 3598 308.72727272727275 114122.0 103004.0
a l 2324 243.88636363636363 89682.5 103741.5
r h 3726 246.0909090909091 93350.5 100955.5
r v 2208 278.77272727272725 109660.0 98714.0
r d 702 228.36363636363637 88325.5 99477.0
r a 4986 286.25 111939.0 99394.5
r r 1948 295.59090909090907 115075.5 98700.0
r l 4184 228.1818181818182 89601.5 99387.5
l h 2307 248.45454545454547 94436.0 101819.0
l v 3524 285.0681818181818 108569.5 102579.0
l d 5054 237.70454545454547 88835.5 102882.0
l a 651 302.04545454545456 111919.5 103415.0
l r 3544 305.65909090909093 114849.5 103046.5
l l 1636 236.8181818181818 89605.0 102372.0
