# DATE_TIME = 2025-12-22 19:52:28
# COIN_WDW = 1100
# INT_TIME = 2000000000000
# LINES_PER_TRIAL = 36
h h 1315 43.52272727272727 35551.5 47223.0
h v 686 48.29545454545455 40884.5 47458.5
h d 1543 41.70454545454545 33155.5 48960.5
h a 588 54.56818181818182 42415.5 47668.5
h r 275 52.86363636363637 43094.0 47894.5
h l 1835 42.20454545454545 33641.5 47077.5
v h 658 26.25 35569.0 29187.5
v v 1136 28.022727272727273 40360.0 29100.5
v d 321 25.045454545454547 33216.5 28778.5
v a 1468 31.15909090909091 42199.0 28993.0
v r 1644 32.52272727272727 44996.5 29118.0
v l 315 23.863636363636363 33786.5 28934.0
d h 197 33.31818181818182 35459.0 37237.0
d v 1735 39.43181818181818 41147.0 37213.5
d d 720 32.95454545454545 33694.5 37147.0
d a 1121 39.88636363636363 42514.5 36911.0
d r 548 40.18181818181818 43502.5 37249.5
d l 1465 31.795454545454547 33557.5 37690.5
a h 1892 35.84090909090909 35294.5 38959.0
a v 106 42.5 40356.0 38517.0
a d 914 31.045454545454547 33580.5 37670.0
a a 1082 41.45454545454545 41970.0 38300.0
a r 1196 41.75 43621.0 38018.5
a l 745 31.90909090909091 33506.5 38318.0
r h 1235 34.02272727272727 35411.0 37104.5
r v 758 39.52272727272727 40335.0 37526.5
r d 205 30.113636363636363 33392.0 37476.5
r a 1759 39.68181818181818 41325.0 37616.0
r r 679 42.15909090909091 43241.5 37140.5
r l 1468 32.93181818181818 33651.0 36515.0
l h 801 34.84090909090909 34949.0 38340.0
l v 1094 38.56818181818182 39090.0 38850.5
l d 1804 32.52272727272727 32871.0 39038.5
l a 159 42.0 41618.5 38711.0
l r 1197 42.18181818181818 43091.0 38274.0
l l 515 33.77272727272727 33428.5 38072.5
