# DATE_TIME = 2026-01-13 01:11:21
# COIN_WDW = 1100
# INT_TIME = 5000000000000
# LINES_PER_TRIAL = 36
h h 574 7.25 13402.0 10020.400000000001
h v 229 7.159090909090909 11887.6 10316.0
h d 687 5.659090909090909 11206.400000000001 10202.800000000001
h a 119 8.25 14018.2 10373.0
h r 232 5.090909090909091 9798.800000000001 10308.6
h l 539 8.886363636363637 15942.0 10299.6
v h 206 6.636363636363637 13073.400000000001 9464.6
v v 540 5.159090909090909 12096.800000000001 9416.4
v d 75 5.75 11064.0 9508.2
v a 639 6.909090909090909 14311.6 9493.2
v r 488 5.181818181818182 9702.6 9467.0
v l 322 8.295454545454545 16092.6 9460.4
d h 150 6.159090909090909 13439.0 9169.6
d v 582 5.318181818181818 11962.6 9012.2
d d 479 4.909090909090909 11148.6 9261.4
d a 325 6.75 14105.400000000001 9116.4
d r 117 4.4772727272727275 9893.2 9127.2
d l 658 8.045454545454545 15911.2 9047.0
a h 645 7.181818181818182 13077.400000000001 10031.800000000001
a v 116 5.931818181818182 11957.0 10117.400000000001
a d 283 6.590909090909091 11196.0 10046.400000000001
a a 432 8.0 14039.800000000001 9968.400000000001
a r 527 5.2727272727272725 9686.4 10078.800000000001
a l 189 8.704545454545455 15847.6 10217.0
r h 513 5.363636363636363 13150.400000000001 7388.8
r v 223 4.931818181818182 11794.6 7461.0
r d 174 4.590909090909091 11207.800000000001 7368.200000000001
r a 599 5.068181818181818 14029.0 7400.0
r r 159 3.5 10162.400000000001 7300.8
r l 635 6.863636363636363 16140.0 7264.0
l h 230 9.454545454545455 12992.800000000001 12629.6
l v 602 7.7272727272727275 11824.400000000001 12729.400000000001
l d 621 7.5 11208.0 12473.6
l a 155 9.25 14364.0 12550.0
l r 530 6.340909090909091 9735.0 12668.400000000001
l l 144 12.318181818181818 16025.800000000001 12517.800000000001
