timestamp	cloud-base	cloud-ceiling	cloud-cover	dew-point	humidity	precipitation-intensity	precipitation-type	pressure-surface-level	temperature	visibility	wind-direction	wind-gust	wind-speed
1696244400.0			0.0	13.69	94.0	0	0	1017.9	14.63	14.23	4.5	4.69	0.88
1696244460.0			0.0	13.69	94.0	0	0	1017.9	14.64	14.23	4.5	4.71	0.9
1696244520.0			0.0	13.69	94.0	0	0	1017.91	14.65	14.23	4.5	4.74	0.93
1696244580.0			0.0	13.69	94.0	0	0	1017.92	14.66	14.23	4.31	4.76	0.95
1696244640.0			0.0	13.69	94.0	0	0	1017.92	14.68	14.24	4.31	4.79	0.98
1696244700.0			0.0	13.69	94.0	0	0	1017.93	14.69	14.24	4.31	4.81	1.0
1696244760.0			0.0	13.69	93.8	0	0	1017.93	14.69	14.24	4.31	4.81	1.0
1696244820.0			0.0	13.69	93.6	0	0	1017.94	14.69	14.24	4.31	4.81	1.0
1696244880.0			0.0	13.69	93.4	0	0	1017.94	14.69	14.24	4.0	4.81	1.0
1696244940.0			0.0	13.69	93.2	0	0	1017.95	14.69	14.24	4.0	4.81	1.0
1696245000.0			0.0	13.69	93.0	0	0	1017.96	14.69	14.24	4.0	4.81	1.0
1696245060.0			0.0	13.69	93.0	0	0	1017.96	14.71	14.24	4.0	4.83	1.0
1696245120.0			0.0	13.69	93.0	0	0	1017.97	14.74	14.25	4.0	4.84	1.0
1696245180.0			0.0	13.69	93.0	0	0	1017.97	14.76	14.25	3.69	4.85	1.0
1696245240.0			0.0	13.69	93.0	0	0	1017.98	14.79	14.25	3.69	4.86	1.0
1696245300.0			0.0	13.69	93.0	0	0	1017.98	14.81	14.25	3.69	4.88	1.0
1696245360.0			0.0	13.68	93.0	0	0	1017.99	14.79	14.25	3.69	4.88	1.02
1696245420.0			0.0	13.66	93.0	0	0	1018.0	14.76	14.25	3.69	4.88	1.05
1696245480.0			0.0	13.65	93.0	0	0	1018.0	14.74	14.25	3.31	4.88	1.08
1696245540.0			0.0	13.64	93.0	0	0	1018.01	14.71	14.25	3.31	4.88	1.1
1696245600.0			0.0	13.63	93.0	0	0	1018.01	14.69	14.26	3.31	4.88	1.13
1696245660.0			0.0	13.63	93.0	0	0	1018.02	14.71	14.26	3.31	4.9	1.13
1696245720.0			0.0	13.63	93.0	0	0	1018.02	14.74	14.26	3.31	4.93	1.13
1696245780.0			0.0	13.63	93.0	0	0	1018.03	14.76	14.26	3.0	4.95	1.13
1696245840.0			0.0	13.63	93.0	0	0	1018.04	14.79	14.26	3.0	4.97	1.13
1696245900.0			0.0	13.63	93.0	0	0	1018.04	14.81	14.26	3.0	5.0	1.13
1696245960.0			0.0	13.66	93.0	0	0	1018.05	14.83	14.21	3.0	4.86	1.1
1696246020.0			0.0	13.7	93.0	0	0	1018.05	14.84	14.15	3.0	4.72	1.08
1696246080.0			0.0	13.74	93.0	0	0	1018.06	14.85	14.1	347.5	4.59	1.05
1696246140.0			0.0	13.78	93.0	0	0	1018.06	14.86	14.04	347.5	4.45	1.02
1696246200.0			0.0	13.81	93.0	0	0	1018.07	14.88	13.99	347.5	4.31	1.0
1696246260.0			0.0	13.83	93.0	0	0	1018.07	14.9	14.0	347.5	4.35	1.02
1696246320.0			0.0	13.84	93.0	0	0	1018.08	14.93	14.0	347.5	4.39	1.05
1696246380.0			0.0	13.85	93.0	0	0	1018.09	14.95	14.01	351.13	4.43	1.08
1696246440.0			0.0	13.86	93.0	0	0	1018.09	14.98	14.02	351.13	4.46	1.1
1696246500.0			0.0	13.88	93.0	0	0	1018.1	15.0	14.03	351.13	4.5	1.13
1696246560.0			0.0	13.88	93.0	0	0	1018.1	15.03	14.04	351.13	4.53	1.14
1696246620.0			0.0	13.88	93.0	0	0	1018.11	15.05	14.05	351.13	4.55	1.15
1696246680.0			0.0	13.88	93.0	0	0	1018.11	15.08	14.06	354.19	4.58	1.16
1696246740.0			0.0	13.88	93.0	0	0	1018.12	15.1	14.07	354.19	4.6	1.18
1696246800.0			0.0	13.88	93.0	0	0	1018.13	15.13	14.08	354.19	4.63	1.19
1696246860.0			0.0	13.88	92.8	0	0	1018.13	15.13	14.08	354.19	4.64	1.19
1696246920.0			0.0	13.88	92.6	0	0	1018.14	15.13	14.09	354.19	4.65	1.19
1696246980.0			0.0	13.88	92.4	0	0	1018.14	15.13	14.1	356.81	4.66	1.19
1696247040.0			0.0	13.88	92.2	0	0	1018.15	15.13	14.11	356.81	4.68	1.19
1696247100.0			0.0	13.88	92.0	0	0	1018.15	15.13	14.12	356.81	4.69	1.19
1696247160.0			0.0	13.9	92.2	0	0	1018.16	15.14	14.13	356.81	4.71	1.21
1696247220.0			0.0	13.93	92.4	0	0	1018.17	15.15	14.14	356.81	4.74	1.24
1696247280.0			0.0	13.95	92.6	0	0	1018.17	15.16	14.15	358.88	4.76	1.26
1696247340.0			0.0	13.98	92.8	0	0	1018.18	15.18	14.16	358.88	4.79	1.29
1696247400.0			0.0	14.0	93.0	0	0	1018.18	15.19	14.17	358.88	4.81	1.31
1696247460.0			0.0	14.04	93.0	0	0	1018.19	15.23	14.53	358.88	4.83	1.31
1696247520.0			0.0	14.08	93.0	0	0	1018.19	15.26	14.9	358.88	4.84	1.31
1696247580.0			0.0	14.11	93.0	0	0	1018.2	15.3	15.27	0.5	4.85	1.31
1696247640.0			0.0	14.15	93.0	0	0	1018.21	15.34	15.63	0.5	4.86	1.31
1696247700.0			0.0	14.19	93.0	0	0	1018.21	15.38	16.0	0.5	4.88	1.31
1696247760.0			0.0	14.19	92.8	0	0	1018.22	15.4	16.0	0.5	4.9	1.33
1696247820.0			0.0	14.19	92.6	0	0	1018.22	15.43	16.0	0.5	4.93	1.34
1696247880.0			0.0	14.19	92.4	0	0	1018.23	15.45	16.0	1.69	4.95	1.35
1696247940.0			0.0	14.19	92.2	0	0	1018.23	15.48	16.0	1.69	4.97	1.36
1696248000.0			0.0	14.19	92.0	0	0	1018.24	15.5	16.0	1.69	5.0	1.38
1696248060.0			0.0	14.19	92.0	0	0	1018.23	15.54	16.0	1.69	5.04	1.38
1696248120.0			0.0	14.19	92.0	0	0	1018.22	15.58	16.0	1.69	5.08	1.38
1696248180.0			0.0	14.19	92.0	0	0	1018.21	15.61	16.0	0.31	5.11	1.38
1696248240.0			0.0	14.19	92.0	0	0	1018.2	15.65	16.0	0.31	5.15	1.38
1696248300.0			0.0	14.19	92.0	0	0	1018.18	15.69	16.0	0.31	5.19	1.38
1696248360.0			0.0	14.21	91.8	0	0	1018.17	15.71	16.0	0.31	5.23	1.38
1696248420.0			0.0	14.24	91.6	0	0	1018.16	15.74	16.0	0.31	5.26	1.38
1696248480.0			0.0	14.26	91.4	0	0	1018.15	15.76	16.0	358.88	5.3	1.38
1696248540.0			0.0	14.29	91.2	0	0	1018.14	15.79	16.0	358.88	5.34	1.38
1696248600.0			0.0	14.31	91.0	0	0	1018.13	15.81	16.0	358.88	5.38	1.38
1696248660.0			0.0	14.31	91.0	0	0	1018.12	15.83	16.0	358.88	5.4	1.38
1696248720.0			0.0	14.31	91.0	0	0	1018.11	15.84	16.0	358.88	5.43	1.38
1696248780.0			0.0	14.31	91.0	0	0	1018.1	15.85	16.0	357.81	5.45	1.38
1696248840.0			0.0	14.31	91.0	0	0	1018.08	15.86	16.0	357.81	5.48	1.38
1696248900.0			0.0	14.31	91.0	0	0	1018.07	15.88	16.0	357.81	5.5	1.38
1696248960.0			0.0	14.35	90.8	0	0	1018.06	15.98	16.0	357.81	5.54	1.38
1696249020.0			0.0	14.39	90.6	0	0	1018.05	16.08	16.0	357.81	5.58	1.38
1696249080.0			0.0	14.43	90.4	0	0	1018.04	16.18	16.0	357.13	5.61	1.38
1696249140.0			0.0	14.46	90.2	0	0	1018.03	16.27	16.0	357.13	5.65	1.38
1696249200.0			0.0	14.5	90.0	0	0	1018.02	16.38	16.0	357.13	5.69	1.38
1696249260.0			0.0	14.53	89.8	0	0	1018.01	16.4	16.0	357.13	5.71	1.38
1696249320.0			0.0	14.55	89.6	0	0	1018.0	16.43	16.0	357.13	5.74	1.38
1696249380.0			0.0	14.58	89.4	0	0	1017.98	16.45	16.0	356.88	5.76	1.38
1696249440.0			0.0	14.6	89.2	0	0	1017.97	16.48	16.0	356.88	5.79	1.38
1696249500.0			0.0	14.63	89.0	0	0	1017.96	16.5	16.0	356.88	5.81	1.38
1696249560.0			0.0	14.6	89.0	0	0	1017.95	16.5	16.0	356.88	5.71	1.34
1696249620.0			0.0	14.58	89.0	0	0	1017.94	16.5	16.0	356.88	5.61	1.3
1696249680.0			0.0	14.55	89.0	0	0	1017.93	16.5	16.0	356.81	5.51	1.26
1696249740.0			0.0	14.53	89.0	0	0	1017.92	16.5	16.0	356.81	5.41	1.23
1696249800.0			0.0	14.5	89.0	0	0	1017.91	16.5	16.0	356.81	5.31	1.19
1696249860.0			0.0	14.6	88.6	0	0	1017.9	16.64	16.0	356.81	5.33	1.19
1696249920.0			0.0	14.7	88.2	0	0	1017.88	16.77	16.0	356.81	5.34	1.19
1696249980.0			0.0	14.8	87.8	0	0	1017.87	16.91	16.0	356.81	5.35	1.19
1696250040.0			0.0	14.9	87.4	0	0	1017.86	17.05	16.0	356.81	5.36	1.19
1696250100.0			0.0	15.0	87.0	0	0	1017.85	17.19	16.0	356.81	5.38	1.19
1696250160.0			0.0	15.0	86.8	0	0	1017.84	17.21	16.0	356.81	5.4	1.21
1696250220.0			0.0	15.0	86.6	0	0	1017.83	17.24	16.0	356.81	5.43	1.24
1696250280.0			0.0	15.0	86.4	0	0	1017.82	17.26	16.0	357.0	5.45	1.26
1696250340.0			0.0	15.0	86.2	0	0	1017.81	17.29	16.0	357.0	5.48	1.29
1696250400.0			0.0	15.0	86.0	0	0	1017.8	17.31	16.0	357.0	5.5	1.31
1696250460.0			0.0	15.03	86.0	0	0	1017.78	17.35	16.0	357.0	5.53	1.31
1696250520.0			0.0	15.05	86.0	0	0	1017.77	17.39	16.0	357.0	5.55	1.31
1696250580.0			0.0	15.08	86.0	0	0	1017.76	17.43	16.0	357.31	5.58	1.31
1696250640.0			0.0	15.1	86.0	0	0	1017.75	17.46	16.0	357.31	5.6	1.31
1696250700.0			0.0	15.13	86.0	0	0	1017.74	17.5	16.0	357.31	5.63	1.31
1696250760.0			0.0	15.13	85.8	0	0	1017.73	17.52	16.0	357.31	5.64	1.31
1696250820.0			0.0	15.13	85.6	0	0	1017.72	17.55	16.0	357.31	5.65	1.31
1696250880.0			0.0	15.13	85.4	0	0	1017.71	17.58	16.0	357.63	5.66	1.31
1696250940.0			0.0	15.13	85.2	0	0	1017.7	17.6	16.0	357.63	5.68	1.31
1696251000.0			0.0	15.13	85.0	0	0	1017.68	17.63	16.0	357.63	5.69	1.31
1696251060.0			0.0	15.2	84.2	0	0	1017.67	17.86	16.0	357.63	5.71	1.33
1696251120.0			0.0	15.28	83.4	0	0	1017.66	18.1	16.0	357.63	5.74	1.34
1696251180.0			0.0	15.35	82.6	0	0	1017.65	18.34	16.0	358.0	5.76	1.35
1696251240.0			0.0	15.43	81.8	0	0	1017.64	18.58	16.0	358.0	5.79	1.36
1696251300.0			0.0	15.5	81.0	0	0	1017.63	18.81	16.0	358.0	5.81	1.38
1696251360.0			0.0	15.53	81.0	0	0	1017.62	18.83	16.0	358.0	5.85	1.38
1696251420.0			0.0	15.55	81.0	0	0	1017.61	18.84	16.0	358.0	5.89	1.38
1696251480.0			0.0	15.58	81.0	0	0	1017.6	18.85	16.0	358.38	5.93	1.38
1696251540.0			0.0	15.6	81.0	0	0	1017.58	18.86	16.0	358.38	5.96	1.38
1696251600.0			0.0	15.63	81.0	0	0	1017.57	18.88	16.0	358.38	6.0	1.38
1696251660.0			0.0	15.63	81.0	0	0	1017.57	18.9	16.0	358.38	5.96	1.38
1696251720.0			0.0	15.63	81.0	0	0	1017.56	18.93	16.0	358.38	5.93	1.38
1696251780.0			0.0	15.63	81.0	0	0	1017.55	18.95	16.0	359.0	5.89	1.38
1696251840.0			0.0	15.63	81.0	0	0	1017.54	18.98	16.0	359.0	5.85	1.38
1696251900.0			0.0	15.63	81.0	0	0	1017.53	19.0	16.0	359.0	5.81	1.38
