# DATE_TIME = 2025-12-22 19:10:29
# COIN_WDW = 1100
# INT_TIME = 500000000000
# LINES_PER_TRIAL = 109
230.700 61.000 0.636 6712.000 12132.000
230.900 47.000 0.545 7048.000 12204.000
231.100 49.000 0.636 7048.000 12328.000
231.300 41.000 0.773 6780.000 11968.000
231.500 50.000 0.318 6938.000 11956.000
231.700 53.000 0.636 7314.000 12260.000
231.900 54.000 0.773 6930.000 12024.000
232.100 57.000 0.636 7256.000 12046.000
232.300 47.000 0.500 6880.000 11942.000
232.500 45.000 0.545 6852.000 12412.000
232.700 49.000 0.591 7114.000 12098.000
232.900 42.000 0.500 6982.000 12096.000
233.100 57.000 0.318 6958.000 12122.000
233.300 45.000 0.318 7002.000 12072.000
233.500 42.000 0.455 6924.000 11932.000
233.700 50.000 0.500 7050.000 12186.000
233.900 45.000 0.455 6636.000 12314.000
234.100 52.000 0.591 6678.000 11426.000
234.300 44.000 0.409 6962.000 12396.000
234.500 48.000 0.545 6686.000 11994.000
234.700 37.000 0.727 7012.000 12414.000
234.900 46.000 0.364 7194.000 12150.000
235.100 38.000 0.455 7276.000 11952.000
235.300 54.000 0.227 7348.000 11706.000
235.500 40.000 0.818 6856.000 11754.000
235.700 52.000 0.455 7138.000 12586.000
235.900 51.000 0.409 7260.000 12188.000
236.100 43.000 0.500 6952.000 12588.000
236.300 49.000 0.545 7376.000 12460.000
236.500 46.000 0.818 6706.000 12636.000
236.700 50.000 0.591 7050.000 12184.000
236.900 46.000 0.818 6890.000 11882.000
237.100 55.000 0.591 7282.000 12988.000
237.300 41.000 0.773 7712.000 12580.000
237.500 36.000 0.682 6230.000 12402.000
237.700 41.000 0.455 6724.000 11404.000
237.900 37.000 0.545 7668.000 12428.000
238.100 44.000 0.591 7088.000 12608.000
238.300 33.000 0.545 7298.000 12616.000
238.500 42.000 0.818 7660.000 12786.000
238.700 45.000 0.364 7582.000 11640.000
238.900 31.000 0.409 8044.000 11872.000
239.100 22.000 0.318 6926.000 11468.000
239.300 20.000 0.591 6860.000 12346.000
239.500 16.000 0.818 6860.000 12258.000
239.700 17.000 0.500 7212.000 12066.000
239.900 22.000 0.591 7014.000 11862.000
240.100 16.000 0.500 7178.000 12448.000
240.300 7.000 0.318 7170.000 11754.000
240.500 7.000 0.636 7488.000 12276.000
240.700 9.000 0.727 7172.000 11638.000
240.900 8.000 0.591 7090.000 12136.000
241.100 6.000 0.591 7236.000 12224.000
241.300 2.000 0.273 7316.000 11924.000
241.500 2.000 0.455 7014.000 11906.000
241.700 3.000 0.682 7214.000 11934.000
241.900 6.000 0.591 7070.000 11904.000
242.100 9.000 0.591 6948.000 12266.000
242.300 14.000 0.455 7384.000 12012.000
242.500 8.000 0.227 6988.000 11990.000
242.700 10.000 0.545 7072.000 11950.000
242.900 18.000 0.636 7078.000 11974.000
243.100 16.000 0.591 6996.000 12244.000
243.300 17.000 0.727 7230.000 12098.000
243.500 19.000 0.682 7144.000 12076.000
243.700 24.000 0.636 6974.000 12242.000
243.900 34.000 0.500 7114.000 12024.000
244.100 29.000 0.636 6966.000 12062.000
244.300 27.000 0.500 7116.000 12154.000
244.500 30.000 0.545 7238.000 12112.000
244.700 36.000 0.500 7284.000 12372.000
244.900 30.000 0.409 7076.000 12178.000
245.100 46.000 0.591 7230.000 12178.000
245.300 39.000 0.864 7004.000 12262.000
245.500 49.000 0.500 7100.000 12020.000
245.700 32.000 0.500 6978.000 12078.000
245.900 44.000 0.545 7206.000 12388.000
246.100 39.000 0.500 7012.000 12434.000
246.300 40.000 0.318 7016.000 12168.000
246.500 45.000 0.364 7358.000 12056.000
246.700 36.000 0.409 7124.000 12180.000
246.900 64.000 0.364 7112.000 11990.000
247.100 37.000 0.455 7250.000 12282.000
247.300 42.000 0.727 7266.000 12532.000
247.500 37.000 0.682 7040.000 12286.000
247.700 44.000 0.636 7174.000 12004.000
247.900 53.000 0.591 7232.000 12376.000
248.100 29.000 0.500 7094.000 12162.000
248.300 54.000 0.682 6910.000 12190.000
248.500 41.000 0.364 7018.000 12232.000
248.700 36.000 0.591 7418.000 12262.000
248.900 41.000 0.500 7190.000 11940.000
249.100 47.000 0.545 7088.000 12156.000
249.300 33.000 0.409 7116.000 12178.000
249.500 43.000 0.409 7106.000 11996.000
249.700 42.000 0.545 7264.000 12056.000
249.900 59.000 0.545 7310.000 11972.000
250.100 41.000 0.591 7202.000 11960.000
250.300 44.000 0.636 6864.000 11980.000
250.500 47.000 0.591 7206.000 12328.000
250.700 44.000 0.545 7130.000 12254.000
250.900 48.000 0.864 7250.000 12280.000
251.100 40.000 0.545 7140.000 12256.000
251.300 34.000 0.545 7076.000 12078.000
251.500 39.000 0.500 7262.000 12262.000
251.700 41.000 0.818 7336.000 12304.000
251.900 42.000 0.682 7172.000 12072.000
252.100 45.000 0.455 7178.000 12454.000
252.300 34.000 0.182 7126.000 11926.000
